Storage Bin,Material,Material Description
F0501,5000654,HCl 32%
F0501,5001007,NaOH (Alkali) 48 % liquid
R25L06,5001730,28 Series Flexible Hopper Linier
R23L04,5001731,3ZV-0100-SF1 1 Butterfly Valve
R05L03,5001732,Abient Temperatur Sensor
F0301,5001736,"Acrylic, uk.T= 3 mm"
R21L05,5001737,ACT Programmer Z12 P/N: 87707
R09L01,5001739,Actuator Kinetrol 020 DA PN 024-100
R01L05,5001740,Actuator VC7931ZZ Honeywell
R09L02,5001745,Air Cylinder CVM5T25-50B-15GS-SMC
R02L02,5001746,Air Cylinder CXSL15-150-Y59AS-XB11 SMC
R16L03,5001747,Air duster
R18L05,5001748,Air Filter Element PN 53749220
R10L04,5001750,Air flow sensor Vane anemometer
R21L04,5001751,Air Hydrolik Cylinder SMC PN CDM2B20-25
R18L05,5001752,Air Intake Filter Element PN 12319220
R18L02,5001753,Air Seal Mixer mesin 2 Material Teflon
F0201,5001756,"Alumunium Foil Ducting Double L 1,2 m"
F0201,5001757,Alumunium insert screen uk. 1x25 m
R10L04,5001758,Amplifier Module P+F type: KFD2-UFC-EX1D
R10L04,5001761,Analog Out Put Modul Siemens
R21L04,5001766,Arm Roller Web SUS uk. 252 x 30 x 10 mm
R21L02,5001770,As Agitator hoper filler Ø15x280mmSUS316
R02L02,5001771,As Full Box Roller KD Ø14mmx87mm SUS304
R02L02,5001772,"As Knife Drive KD Ø14mmx87,5mm SUS304"
R21L04,5001773,As motor brake cluth
R21L02,5001774,As pengaduk bahan 12x525mm
R21L04,5001775,As pin 4x27mm
R26L04,5001776,"As pintu Besi  Ø14,3 x 166 mm"
R17L02,5001777,As pompa solar
R21L02,5001778,As roll foil AS uk. 20x500 mm SUS 304
R21L02,5001779,As roll foil uk. 12 x 532 mm
R21L02,5001780,As roll foil uk. 32.8 x 470 mm
R21L02,5001781,As roll foil VGT uk. 20x577 mm SUS 304
R21L02,5001782,As roll pisau Sliter 60 uk. 15 x 535 mm
R02L02,5001783,As Roller KD Ø14mm x 92mm SUS304
R02L02,5001784,As Rubber Pusher SS304 Hex 10x53xM6
R09L03,5001790,"Attachment wtih plate and BB(16707R,8L)"
R17L04,5001791,Auxilary Contact Block LA1KN31 Schneider
R20L03,5001792,"Auxilary Contact Block LAD-N22, 2NO/2NC"
R08L05,5001793,"Auxilary contacts HI11-P1/P3E ""Moeller"""
R04L01,5001796,"Balas lampu LOGO kecil, primer:220V"
R04L02,5001797,Balas lampu PLC 13 Watt/ 220 V
R04L02,5001798,Balas lampu PLS 9 Watt/ 220 V
R04L01,5001799,Balas lampu taman Inqua UST-I50
R04L02,5001800,Balas Lampu TL 20 / 18 W 220V
R04L02,5001801,Balas Lampu TL 40 / 36 W 220V
R11L04,5001802,Balas Lampu UV BA - ICE - S
R02L03,5001803,Ball Bearing L-1360ZZ
R02L03,5001804,Ball Bearing LF-940ZZ
R02L03,5001805,Ball Bearing RF-1340HH
R24L04,5001807,"Ball Float steam trap FT14-10TV size 1"""
R24L04,5001808,"Ball Float steam trap FT14-10TV size3/4"""
R21L04,5001810,Bantalan support nozzle Nylon
R20L04,5001811,"Basic Switch V-15-1A5-T, OMRON"
R02L04,5001812,Basic switch VX-5-1A2 OMRON
R06L03,5001814,Battery A3 (AAA)
R19L02,5001815,Battery Charge 6 volt/ 3 Ah E1005
R01L05,5001816,"Battery Charge MOD-KR-CH 1,2V, 2500 mAh"
R10L04,5001819,"Battery lithium 1/2AA, 3,6 V SIEMENS"
R10L05,5001820,"Battery NP 0,8-12V, 0,8Ah"
R18L04,5001821,Battery PN. 50514220
L02L08,5001823,Battery Program Allen Bradley 1747-BA
R06L02,5001824,Battery Program SAFT LS14250 + Kaki
L01L04,5001825,Battery Program TOSHIBA ER3V PLC YASKAWA
R17L03,5001828,Bauser 72185
R05L02,5001829,Baut + Mur + Ring + Karet Coupling
L02L05,5001830,"Baut 10 pas uk 6x20 mm, mat.: SS"
R21L03,5001831,Baut 10 pas uk 6x75 mm
R26L03,5001832,Baut 11 pas (steam) 1/4x3/4
R26L03,5001833,"Baut 13 pas uk 8x50 mm, mat:SS"
R26L02,5001834,Baut Kunci 12 uk 7 X 135
R26L02,5001835,Baut Kunci 13 uk. 8 X 40 ulir kiri
R26L02,5001837,Baut kunci 19 uk. M12 X 50 mm
R26L02,5001838,Baut kunci 24 uk. 16 X 100
R26L02,5001839,Baut Kunci 24 uk. 85 X 15/16
R26L02,5001842,"Baut kunci 30 uk 20 X 80 mm, BS"
R26L02,5001843,Baut kunci 30 uk. 20 X 145
R21L03,5001844,Baut kunci flange vakum
R10L01,5001846,Baut L Container SS 10x60mm
R10L01,5001847,Baut L Container SS 12x30mm
R10L01,5001848,Baut L Container SS 8x15mm
R10L01,5001849,Baut L Container SS 8x20mm
R10L01,5001850,Baut L Container SS 8x25mm
R26L03,5001855,Baut L4 M5 X 20 mm SS @ pack 100 Pcs
R26L02,5001856,Baut L5 tanam M10 X 20 mm SS
R26L02,5001860,Baut L8 M10 X 30 mm SS
R26L03,5001861,Baut M5x30 mm FULL S/S
R26L03,5001862,Baut M6x30 mm FULL S/S
R26L03,5001863,Baut M8x30 mm FULL S/S
R08L03,5001864,Baut pas 13 SS uk. Inchi
R03L02,5001865,Baut Pengikat jembatan sachet NAFM
R10L01,5001866,Baut Pengunci Mesh Container
R15L04,5001867,Baut perseng SUS 304 uk. M5 x 10 mm
R15L04,5001868,Baut Perseng uk.5 x 20 mm
R15L04,5001869,Baut Perseng uk.5 x 60 mm
R03L02,5001870,Baut setting konveyor NAFM M8X50X13
R26L02,5001872,Baut SS kunci 22 M14x50mm+Ring Plate+Mur
R21L03,5001873,"Baut SS L2,5 biasa 3x18mm"
L02L05,5001874,"Baut SS L2,5 tanam uk. M5 X 6 mm"
R21L03,5001875,Baut SS L3 biasa 4x30mm
R21L03,5001876,Baut SS L3 tanam 6x15mm
R21L03,5001877,Baut SS L3 tanam 6x30 mm
R21L03,5001879,Baut SS L3 tanam uk. 6 x 50 mm
L02L05,5001880,Baut SS L3 tanam uk. 6 x 6 / 5 mm
R21L03,5001881,Baut SS L4 biasa 5x25mm
R10L01,5001883,Baut SS L4 tanam uk. 8 x 30 mm
L02L05,5001884,"Baut SS L5 biasa 6x20 mm, mat.: SS"
R21L03,5001885,Baut SS L5 biasa 6x30/40 mm
R21L03,5001886,Baut SS L6 biasa 8x30mm
R21L03,5001887,Baut SS L6 Biasa 8x50 Full Drat
R26L03,5001888,Baut SS L6 M8 x 50 mm
L02L05,5001889,Baut SS M3 x 6 mm Obeng Plus
R10L01,5001892,Baut Tee safety level
R09L01,5001893,"Baut, wing bolt pengunci PIAB SS"
R26L02,5001896,"Baut+mur+ring BS M16, uk. 16 x 150 mm"
R05L02,5001897,Baut+Mur+Ring+Karet Coupling FCL 224
L02L04,5001898,Bearing 1204 NTN
R21L03,5001899,Bearing 16005 SKF
R21L03,5001900,Bearing 1630 KH
R18L02,5001902,Bearing 206 FYH UCFC
R18L02,5001903,Bearing 207 UC
R07L02,5001904,"Bearing 208 UK, FYH"
R18L02,5001906,"Bearing 210 UC, FYH"
R19L01,5001907,Bearing 213 UC
R19L01,5001908,Bearing 215 UC
R19L01,5001909,Bearing 216 UC FYH
R08L02,5001910,Bearing 2307 SKF EN9
R08L02,5001911,Bearing 2308
R07L04,5001912,"Bearing 30305 J, NSK"
R20L04,5001913,Bearing 30308 J/Q SKF
R08L02,5001914,Bearing 308 - NJ
R18L02,5001915,Bearing 32010X0
R19L04,5001916,Bearing 32013 X/Q
R19L04,5001917,Bearing 32015 X/Q
R19L02,5001918,Bearing 3311 SKF
R21L03,5001919,Bearing 4200 ATN9 SKF
R08L02,5001920,Bearing 4T-32009 NTN
R21L03,5001921,Bearing 51107 SKF
R10L02,5001922,"Bearing 51115, Trust BB, NTN"
R03L03,5001923,Bearing 6000 ZZ SKF
R03L03,5001924,Bearing 6001 ZZ NR NSK
L02L03,5001925,Bearing 6001 ZZ NSK
R21L03,5001926,Bearing 6002 2RSI SKF
L02L03,5001927,Bearing 6002 ZZ NSK
R09L02,5001928,"Bearing 6002 ZZ/C3, SKF"
R21L03,5001929,Bearing 6003 2RSI SKF
R06L03,5001930,Bearing 6003 ZZ
R21L03,5001931,Bearing 6004 2RSI SKF
L02L03,5001932,Bearing 6005 2RS NSK
L02L03,5001933,Bearing 6005 ZZ NSK
R03L03,5001934,Bearing 6005 ZZNR KOYO
L02L03,5001935,"Bearing 6006 2RS/DDU C3, NSK"
R21L03,5001936,Bearing 6007 2RSI SKF
R21L03,5001937,Bearing 6008 2RSI SKF
R21L03,5001938,Bearing 6009 2RS SKF
L02L04,5001940,"Bearing 6014 2RS/C3, SKF"
R06L03,5001941,Bearing 608 ZZ NTN
R17L01,5001942,Bearing 61800 2Z SKF
R21L03,5001943,Bearing 61807 2RSI SKF
R10L02,5001944,Bearing 6200 SKF
L02L03,5001946,Bearing 6201 DDU NSK
R06L03,5001948,Bearing 6202 2Z
R05L02,5001949,Bearing 6203 ZZ C3 NSK
R31L04,5001950,Bearing 6204 2RS SKF
R10L02,5001951,Bearing 6204 ZZ SKF
R31L04,5001953,"Bearing 6205 ZZ, NSK"
R17L02,5001954,Bearing 6206 ZZ SKF
R08L02,5001955,Bearing 6207
R18L02,5001956,Bearing 6208 ZZ
R20L04,5001958,Bearing 6211 FAG
R21L03,5001959,Bearing 624 2Z SKF
R03L03,5001960,Bearing 625 2Z SKF
R21L03,5001961,Bearing 626 2RS SKF
R21L03,5001962,Bearing 626 ZZ
R03L03,5001964,"Bearing 6301 ZZ/C3, NSK"
R03L03,5001965,"Bearing 6302 2RS, D/ Groove BB, NSK"
R31L04,5001967,Bearing 6303 SKF
R31L04,5001968,Bearing 6306 - C4 SKF
R08L02,5001969,Bearing 6309
R08L02,5001971,Bearing 6310 ZZ C3 NSK
R10L02,5001973,Bearing 6313 C3 FAG
R17L01,5001974,Bearing 6321 SKF
R17L01,5001975,Bearing 6324 SKF
R17L01,5001976,"Bearing 6800 2RS ""NTN"""
L02L04,5001977,Bearing 6805 ZZ NSK
R03L03,5001978,Bearing 6814 ZZ NTN
R02L03,5001979,Bearing 686 ZZ ( EZO )
R09L02,5001980,"Bearing 688 ZZ, NSK"
L02L03,5001981,Bearing 6900 ZZ NSK
R03L03,5001982,"Bearing 6902 ZZ, NSK"
R03L03,5001983,Bearing 6904 ZZ merk NTN
R03L03,5001984,Bearing 6905 ZZ NTN
R03L03,5001985,Bearing 6906 ZZ NTN
R03L03,5001986,Bearing 6907 ZZ NTN
L02L04,5001987,Bearing 6913 2RS NSK
R05L02,5001989,Bearing BA2B 633313 C
R03L03,5001990,Bearing BLF-203 Pillow Block FYH
L02L04,5001991,"Bearing CF 10 BUU, Merk IKO"
R21L03,5001992,Bearing CF 6
R08L02,5001993,Bearing ER 206-19
R08L02,5001994,Bearing ER 207-23
R02L03,5001995,Bearing F 624 ZZ ( EZO )
R02L03,5001996,Bearing F 684 ZZ ( EZO )
R07L02,5001997,"Bearing HK0509-B, INA"
L02L04,5001998,"Bearing HMK 1520, NTN"
L02L04,5001999,"Bearing ID= 8 mm, OD=14 mm"
R06L06,5002000,Bearing MR 126 ZZ
R03L03,5002001,"Bearing NAF 102213 ""IKO"""
L02L04,5002002,Bearing NAFW254026 merk IKO
R21L03,5002003,Bearing PHS 8 ulir kanan
R21L03,5002004,Bearing PHS 8 ulir kiri
R08L02,5002005,Bearing RLS 9-2Z SKF
R03L03,5002007,"Bearing SB203, BRG Insert, FYH"
R19L04,5002008,Bearing Swivel P/N 22052
R08L02,5002009,"Bearing UC 204, FYH"
R08L02,5002010,Bearing UCFL 207 FYH
R32L02,5002011,Behel SS 304 uk. 6 mm
R24L02,5002012,"Bellow Globe valve Flange 1"""
R24L01,5002013,"Bellow Globe Valve FLange 2 1/2"""
R02L01,5002015,Belt 5MHP 340-20 Optibelt Omega
R02L01,5002016,Belt 5MHP 600-15 Optibelt Omega
R20L05,5002017,Belt Anritsu Conveyor Panjang 1017x250mm
R20L05,5002018,Belt Anritsu Input 717x250mm
R20L05,5002019,"Belt Anritsu Rejector, 717x250mm"
3211010756,5002024,Belt Conveyor CD Autohanger 1660x195mm
R21L04,5002025,Belt Conveyor CHIORINO 50X394 cm
R13L02,5002027,Belt Conveyor NAB-7EEPV 1230 x 200 x 2mm
R13L02,5002028,Belt Conveyor NAB-7EEPV 1520 x 170 x 2mm
R13L02,5002029,Belt Conveyor NAFM PCV Hijau2x145x1475mm
R13L02,5002030,Belt Conveyor NAFM PCV Hijau2x160x1030mm
R09L02,5002032,Belt Conveyor Output 2125 x 250mm FNI-5E
R06L05,5002033,Belt Dressing
R09L02,5002034,Belt Main Conveyor 1810x200mm NAB-5EEWV
R02L01,5002035,"Belt MBQ5-1, Misumi"
R02L01,5002036,"Belt MBQC5-1, Misumi"
R12L01,5002038,Belt Optimat OE Red Poly A/13 Optibelt
R03L01,5002039,Belt PN: 03-52-5
R03L01,5002040,Belt PN: 04-75-8
R13L02,5002042,Belt PVC hijau 1230 mm x 180 mm x 2 mm
R13L02,5002043,Belt PVC Hijau 1860 x 195 x 1mm
R03L01,5002044,"Belt PVC hijau 2130 mm x 40 mm x 1,8 mm"
R13L02,5002045,Belt PVC hijau 2630 mm x 330 mm x 2 mm
R12L05,5002047,Belt SOCO V2AG-C5(L)/N20M + Cleat DE.Z06
H0101,5002048,"Belt SPZ 1212 LW ""Optibelt"""
H0101,5002049,"Belt SPZ 1400 LW ""Optibelt"""
H0101,5002050,"Belt SPZ 2650 LW ""Optibelt"""
R17L03,5002051,BERU Ignition Transformer BERU-W-ZG 02
R32L02,5002052,Besi Behel SS dia. 8 mm
R32L02,5002054,Besi Siku SUS 304 30mmx30mmx3mmx6Mtr
R17L02,5002060,Boiler Feed Disc Check Valve DCV3B DN32
R10L01,5002061,Booster Valve 3/2 Way 3.756-0024
R19L03,5002062,Bottom Int. Chamber W/Strainer PN 085029
R07L06,5002064,Box Panel SS uk. 600 x 400 x 200 mm
R02L02,5002065,Bracket manifold vacuum Auto hanger KD
R02L02,5002066,Bracket mounting pusher Auto hanger KD
R03L02,5002067,Bracket pendorong carton NAFM SS304
R03L05,5002070,"Brake Pack SB50W , Oriental"
R21L04,5002071,Brake Roller Web SUS 150x25x15mm
R09L03,5002076,Built-in Amp Phtolctric Snsor E3Z-T61
L01L06,5002077,Built-in Amp Phtolctric Snsor E3ZZ-R61
R17L04,5002078,Bulb PN 1089 9108 01
R17L04,5002079,"Bushing 1/2"" drat luar x 1/2"" drat dalam"
L02L06,5002080,"Bushing 80F-1015 ""OILES"""
R21L04,5002082,Bushing AS Agitator material teflon
R03L03,5002083,Bushing Bearing LMK13LUU
R10L02,5002084,Bushing Clamp Seling ( SS )
R17L02,5002085,"Bushing kuningan 1/2"" dt luar 3/8"" dtdlm"
R10L01,5002086,Bushing kuningan Hydrolik
R21L04,5002087,Bushing kuningan ulir kanan
L02L06,5002089,"Bushing LFF1015 ""OILES"""
R09L01,5002090,Bushing PIAB ID16xOD50xP55mm Mat. POM
R09L01,5002091,Bushing PIAB ID16XOD51XP81.70mm Mat POM
R10L01,5002092,Bushing roda Kontainer uk. 25x12x66 mm
R21L04,5002093,Bushing shaft Nozzle Ø20/14xØ12mm Bronze
R21L04,5002096,Bushing Stainles
R21L04,5002097,Bushing Stainles 12/16 x 12 mm
R03L03,5002099,Cam Followers CF 8 VBUU IKO
R09L03,5002104,"Carbon brush silver uk. 6,3x13,2x22,2"
R09L03,5002105,"Carbon brush type C uk. 7,75x16x25"
R09L03,5002106,"Carbon Brush, Silver"
R09L03,5002107,"Carbon Bursh, C type with wire"
R09L03,5002108,Carbon Holder with brush
R09L03,5002109,Carbon Holder with brush (Silver)
R03L02,5002110,Carton Guide
R13L05,5002111,Cartridge Heater PN : K07-10
R13L05,5002112,Cartridge Heater PN : K10-4
R15L01,5002113,Cat Clear
R15L02,5002114,"Cat Epoxy ""Tajima"""
R15L02,5002115,"Cat Epoxy Hardener 0,2 Liter ""Tajima"""
R15L01,5002116,Cat Finish Silicon HR200
R15L01,5002118,"Cat Impra ""Clear"""
R15L01,5002119,Cat Primer Silicon HR200
R15L02,5002122,"Cat Silver Air Mancur, Hammer Brand"
R15L02,5002123,Cat Silver Fitalit @ 1 kg
R06L02,5002125,Catcher Plastic/InkReturnBlock SP355-611
R12L06,5002127,"Catridge Filter 5 micron panjang: 20"""
R09L05,5002128,"Catridge Heater (L Form) Ø6,5x80 mm"
R09L05,5002130,"Catridge Heater Ø6,1 x 440 mm"
R24L02,5002135,"Check Valve 2 1/2"" KITZ"
R24L02,5002136,"Check Valve 2"" KITZ"
R24L02,5002137,"Check Valve 4"" KITZ"
R06L02,5002138,Check Valve Comb. PN: 207407
R11L05,5002140,Chlorine in Freshwater PN 114670.0001
R21L02,5002141,Chute Conveyor
L02L01,5002144,Chute Up/ Down Shaft Bushing P/N: 0265
L02L01,5002145,Chute Up/Down Shaft Bushing  PN:0265+Z
L02L09,5002147,Circuit Breaker 3RV1011 - 1AA10
L02L09,5002148,Circuit Breaker 3RV1021 - 1EA10
L02L09,5002149,Circuit Breaker 3RV1021 - 4AA10
L02L09,5002150,Circuit Breaker 3RV1031 - 4FA10
L02L09,5002151,Circuit Breaker 3RV1031 - 4GA10
R10L04,5002152,Circuit Breaker 3RV2011 - 0JA10
L02L09,5002153,Circuit Breaker 3RV2021 - 1DA10
R10L03,5002154,Circuit Breaker 3VU1340-0Mf00 Siemens
R17L04,5002155,"Cirkuit Breaker 3RV1011 0JA10, SIEMENS"
R07L03,5002156,Cirkuit Breaker 3RV1011-1HA10 SIEMENS
R21L05,5002158,Cluth PCB 32-CFFB-00 P/N: 87955
R19L03,5002160,Coil mesin potong rumput
R01L02,5002161,"Coil Solenoid 220 VAC, Neple 1 1/2"""
R21L05,5002162,Coil solenoid 230 V NORGREN
L02L08,5002164,"Coil Solenoid Model A01-04, 220VAC SMC"
L01L02,5002167,Comm Module JAPMC-CM2310-E YASKAWA
R03L05,5002170,Condensor CH65BA Oriental
R10L03,5002172,Connecting Temperature Product
R02L04,5002173,"Connector ""OMRON"" EE-1006 2M"
R02L04,5002175,Connector EE-1001 OMRON
L01L05,5002177,Connector kabel MIL Socket XG4M-3430-T
L01L05,5002178,Connector kabel MIL Socket XG4M-5030-T
L01L04,5002179,"Connector NJC-165-PM, Nanaboshi"
L01L04,5002180,"Connector NJC-165-RF, Nanaboshi"
R10L03,5002181,"Connector Pompa Spray FBD ERA.2E, Lemo"
R10L03,5002182,"Connector Pompa Spray FBD FFA.2E, Lemo"
R06L02,5002183,Connector Seven Pin
R10L03,5002184,Connector Temp Prod NCS 164 P Nanaboshi
R10L03,5002185,Connector Temp Prod NCS 164 R Nanaboshi
